Provinz;WorldArea;Region;Nation;IPC;Naval-Base;Air Base;Minor Ind.;Major Ind.;"Supplie
Route";INF;M.INF;ARI;TANK;AAA;FIGHTER;T.BOMB;S.BOMB;SUB;DEST;CRUISER;B.SHIP;CARRIER;CARRIER (F);CARRIER (FF);CARRIER (FT);CARRIER (T);CARRIER (TT);CAR;CAR(I);CAR (II);CAR (IM);CAR (IT);CAR (IA);CAR (IAAA);Allies
Seaside 1;WP;;Sea;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 2;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 3;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 4;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 5;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 6;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 7;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 8;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 9;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 10;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 11;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 12;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 13;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 14;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 15;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 16;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 17;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 18;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 19;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 20;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 21;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 22;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 23;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 24;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 25;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 26;WP;;Sea;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 27;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 28;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 29;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 30;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 31;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 32;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 33;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 34;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 35;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 36;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 37;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 38;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 39;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 40;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 41;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 42;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 43;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 44;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 45;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 46;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 47;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 48;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 49;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 50;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 51;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 52;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 53;WP;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 54;WP;;Sea;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 55;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 56;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 57;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 58;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 59;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 60;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 61;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 62;WP;;Sea;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 63;WP;;Sea;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 64;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 65;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 66;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 67;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 68;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 69;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 70;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 71;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 72;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 73;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 74;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 75;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 76;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 77;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 78;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seaside 79;N/A;;Sea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
